In State Full RCB
IMU Connected
Starting RCBRCB Angle Error: -88.768997
RCB Angle Error: -28.188000
RCB Angle Error: -28.079000
RCB Angle Error: -27.974001
RCB Angle Error: -27.827999
RCB Angle Error: -27.695000
RCB Angle Error: -27.495001
RCB Angle Error: -27.285000
RCB Angle Error: -27.146000
RCB Angle Error: -27.042000
RCB Angle Error: -26.971001
RCB Angle Error: -26.841999
RCB Angle Error: -26.636000
RCB Angle Error: -26.416000
RCB Angle Error: -26.205999
RCB Angle Error: -26.101999
RCB Angle Error: -26.002001
RCB Angle Error: -25.910000
RCB Angle Error: -25.768000
RCB Angle Error: -25.580000
RCB Angle Error: -25.396000
RCB Angle Error: -25.218000
RCB Angle Error: -25.076000
RCB Angle Error: -24.975000
RCB Angle Error: -24.854000
RCB Angle Error: -24.739000
RCB Angle Error: -24.570999
RCB Angle Error: -24.372000
RCB Angle Error: -24.209000
RCB Angle Error: -24.086000
RCB Angle Error: -24.010000
RCB Angle Error: -23.902000
RCB Angle Error: -23.732000
RCB Angle Error: -23.535999
RCB Angle Error: -23.344000
RCB Angle Error: -23.197001
RCB Angle Error: -23.066999
RCB Angle Error: -22.936001
RCB Angle Error: -22.813999
RCB Angle Error: -22.666000
RCB Angle Error: -22.520000
RCB Angle Error: -22.330000
RCB Angle Error: -22.171000
RCB Angle Error: -22.034000
RCB Angle Error: -21.917999
RCB Angle Error: -21.792999
RCB Angle Error: -21.646999
RCB Angle Error: -21.495001
RCB Angle Error: -21.332001
RCB Angle Error: -21.193001
RCB Angle Error: -21.073999
RCB Angle Error: -20.959999
RCB Angle Error: -20.846001
RCB Angle Error: -20.697001
RCB Angle Error: -20.542000
RCB Angle Error: -20.336000
RCB Angle Error: -20.166000
RCB Angle Error: -20.013000
RCB Angle Error: -19.889999
RCB Angle Error: -19.749001
RCB Angle Error: -19.606001
RCB Angle Error: -19.441999
RCB Angle Error: -19.282000
RCB Angle Error: -19.094999
RCB Angle Error: -18.955000
RCB Angle Error: -18.836000
RCB Angle Error: -18.729000
RCB Angle Error: -18.573000
RCB Angle Error: -18.407000
RCB Angle Error: -18.233000
RCB Angle Error: -18.096001
RCB Angle Error: -17.947001
RCB Angle Error: -17.812000
RCB Angle Error: -17.663000
RCB Angle Error: -17.514999
RCB Angle Error: -17.330999
RCB Angle Error: -17.170000
RCB Angle Error: -17.017000
RCB Angle Error: -16.884001
RCB Angle Error: -16.729000
RCB Angle Error: -16.591000
RCB Angle Error: -16.447001
RCB Angle Error: -16.309999
RCB Angle Error: -16.129000
RCB Angle Error: -15.960000
RCB Angle Error: -15.799000
RCB Angle Error: -15.669000
RCB Angle Error: -15.536000
RCB Angle Error: -15.419000
RCB Angle Error: -15.286000
RCB Angle Error: -15.144000
RCB Angle Error: -14.970000
RCB Angle Error: -14.817000
RCB Angle Error: -14.681000
RCB Angle Error: -14.556000
RCB Angle Error: -14.389000
RCB Angle Error: -14.221000
